"Fecha","SospechososNuevos","SospechososAcum","SospechososPorcenCambio","NegativosNuevos","NegativosAcum","NegativosPorcenCambio","ConfirmadosNuevos","ConfirmadosAcum","ConfirmadosPorcenCambio","RecuperadosNuevos","RecuperadosAcum","RecuperadosPorcenCambio","FallecidosNuevos","FallecidosAcum","FallecidosPorcenCambio","EstudiadosNuevos","EstudiadosAcum","EstudiadosPorcenCambio","ActivosAcum"
"25-feb",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-feb",1,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-feb",0,1,0,4,22,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-feb",2,3,200,15,37,68.18,3,3,0,0,0,0,0,0,0,0,0,0,3
"29-feb",5,8,166.67,9,46,24.32,1,4,33.33,0,0,0,0,0,0,0,0,0,4
"01-mar",3,11,37.5,14,60,30.43,1,5,25,0,0,0,0,0,0,0,0,0,5
"02-mar",10,21,90.91,9,69,15,0,5,0,0,0,0,0,0,0,0,0,0,5
"03-mar",18,39,85.71,6,75,8.7,0,5,0,0,0,0,0,0,0,0,0,0,5
"04-mar",-13,26,-33.33,37,112,49.33,0,5,0,0,0,0,0,0,0,0,0,0,5
"05-mar",9,35,34.62,31,143,27.68,0,5,0,0,0,0,0,0,0,0,0,0,5
"06-mar",1,36,2.86,20,163,13.99,1,6,20,0,0,0,0,0,0,0,0,0,6
"07-mar",-6,30,-16.67,23,186,14.11,1,7,16.67,0,0,0,0,0,0,0,0,0,7
"08-mar",-6,24,-20,15,201,8.06,0,7,0,0,0,0,0,0,0,0,0,0,7
"09-mar",-12,12,-50,17,218,8.46,0,7,0,0,0,0,0,0,0,0,0,0,7
"10-mar",25,37,208.33,16,234,7.34,0,7,0,0,0,0,0,0,0,0,0,0,7
"11-mar",12,49,32.43,30,264,12.82,4,11,57.14,1,1,0,0,0,0,0,0,0,10
"12-mar",33,82,67.35,34,298,12.88,4,15,36.36,0,1,0,0,0,0,0,0,0,14
"13-mar",23,105,28.05,46,344,15.44,11,26,73.33,0,1,0,0,0,0,0,0,0,25
"14-mar",50,155,47.62,60,404,17.44,15,41,57.69,1,2,100,0,0,0,0,0,0,39
"15-mar",21,176,13.55,78,482,19.31,12,53,29.27,1,3,50,0,0,0,0,0,0,50
"16-mar",-5,171,-2.84,97,579,20.12,29,82,54.72,0,3,0,0,0,0,0,0,0,79
"17-mar",35,206,20.47,93,672,16.06,11,93,13.41,0,3,0,0,0,0,0,0,0,90
"18-mar",108,314,52.43,115,787,17.11,25,118,26.88,0,3,0,0,0,0,0,0,0,115
"19-mar",134,448,42.68,134,921,17.03,46,164,38.98,0,3,0,1,1,0,0,0,0,160
"20-mar",158,606,35.27,190,1111,20.63,39,203,23.78,0,3,0,1,2,100,0,0,0,198
"21-mar",91,697,15.02,352,1463,31.68,48,251,23.65,0,3,0,0,2,0,0,0,0,246
"22-mar",96,793,13.77,204,1667,13.94,65,316,25.9,0,3,0,0,2,0,0,0,0,311
"23-mar",33,826,4.16,198,1865,11.88,51,367,16.14,0,3,0,2,4,100,0,0,0,360
"24-mar",393,1219,47.58,296,2161,15.87,38,405,10.35,0,3,0,1,5,25,0,0,0,397
"25-mar",437,1656,35.85,284,2445,13.14,70,475,17.28,0,3,0,1,6,20,0,0,0,466
"26-mar",500,2156,30.19,520,2965,21.27,110,585,23.16,0,3,0,2,8,33.33,0,0,0,574
"27-mar",319,2475,14.8,577,3542,19.46,132,717,22.56,0,3,0,4,12,50,0,0,0,702
"28-mar",148,2623,5.98,799,4341,22.56,131,848,18.27,0,3,0,4,16,33.33,0,0,0,829
"29-mar",-59,2564,-2.25,614,4955,14.14,145,993,17.1,0,3,0,4,20,25,0,0,0,970
"30-mar",188,2752,7.33,680,5635,13.72,101,1094,10.17,0,3,0,8,28,40,9481,9481,0,1063
"31-mar",759,3511,27.58,647,6282,11.48,121,1215,11.06,0,3,0,1,29,3.57,1527,11008,16.11,1183
"01-abr",316,3827,9,791,7073,12.59,163,1378,13.42,0,3,0,8,37,27.59,1270,12278,11.54,1338
"02-abr",826,4653,21.58,749,7822,10.59,132,1510,9.58,0,3,0,13,50,35.14,1707,13985,13.9,1457
"03-abr",745,5398,16.01,780,8602,9.97,178,1688,11.79,0,3,0,10,60,20,1703,15688,12.18,1625
"04-abr",429,5827,7.95,865,9467,10.06,202,1890,11.97,0,3,0,19,79,31.67,1496,17184,9.54,1808
"05-abr",-618,5209,-10.61,1215,10682,12.83,253,2143,13.39,0,3,0,15,94,18.99,850,18034,4.95,2046
"06-abr",1086,6295,20.85,1059,11741,9.91,296,2439,13.81,0,3,0,31,125,32.98,2441,20475,13.54,2311
"07-abr",1231,7526,19.56,3358,15099,28.6,346,2785,14.19,0,3,0,16,141,12.8,4935,25410,24.1,2641
"08-abr",1662,9188,22.08,2110,17209,13.97,396,3181,14.22,0,3,0,33,174,23.4,4168,29578,16.4,3004
"09-abr",917,10105,9.98,741,17950,4.31,260,3441,8.17,0,3,0,20,194,11.49,1918,31496,6.48,3244
"10-abr",195,10300,1.93,1799,19749,10.02,403,3844,11.71,1611,1614,53700,39,233,20.1,2397,33893,7.61,1997
"11-abr",-317,9983,-3.08,1528,21277,7.74,375,4219,9.76,157,1771,9.73,40,273,17.17,1586,35479,4.68,2175
"12-abr",-1286,8697,-12.88,666,21943,3.13,442,4661,10.48,72,1843,4.07,23,296,8.42,115,35594,0.32,2522
"13-abr",644,9341,7.4,1097,23040,5,353,5014,7.57,121,1964,6.57,36,332,12.16,1801,37395,5.06,2718
"14-abr",1451,10792,15.53,860,23900,3.73,385,5399,7.68,161,2125,8.2,74,406,22.29,2696,40091,7.21,2868
"15-abr",925,11717,8.57,1238,25138,5.18,448,5847,8.3,157,2282,7.39,43,449,10.59,2611,42702,6.51,3116
"16-abr",623,12340,5.32,1373,26511,5.46,450,6297,7.7,169,2451,7.41,37,486,8.24,2446,45148,5.73,3360
"17-abr",1024,13364,8.3,1615,28126,6.09,578,6875,9.18,176,2627,7.18,60,546,12.35,3217,48365,7.13,3702
"18-abr",-995,12369,-7.45,-825,27301,-2.93,622,7497,9.05,0,2627,0,104,650,19.05,802,49167,1.66,4220
"19-abr",-2230,10139,-18.03,3869,31170,14.17,764,8261,10.19,460,3087,17.51,36,686,5.54,403,49570,0.82,4488
"20-abr",-486,9653,-4.79,1320,32490,4.23,511,8772,6.19,2008,5095,65.05,26,712,3.79,0,49570,0,2965
"21-abr",-1391,8262,-14.41,1381,33871,4.25,729,9501,8.31,364,5459,7.14,145,857,20.37,0,49570,0,3185
"22-abr",-556,7706,-6.73,0,33871,0,1043,10544,10.98,497,5956,9.1,113,970,13.19,0,49570,0,3618
"23-abr",-118,7588,-1.53,5793,39664,17.1,1089,11633,10.33,481,6437,8.08,99,1069,10.21,9315,58885,18.79,4127
"24-abr",301,7889,3.97,1909,41573,4.81,1239,12872,10.65,712,7149,11.06,152,1221,14.22,3449,62334,5.86,4502
"25-abr",350,8239,4.44,1846,43419,4.44,970,13842,7.54,590,7739,8.25,84,1305,6.88,3166,65500,5.08,4798
"26-abr",-627,7612,-7.61,1927,45346,4.44,835,14677,6.03,615,8354,7.95,46,1351,3.52,2135,67635,3.26,4972
"27-abr",1002,8614,13.16,1614,46960,3.56,852,15529,5.81,732,9086,8.76,83,1434,6.14,3468,71103,5.13,5009
"28-abr",2606,11220,30.25,2073,49033,4.41,1223,16752,7.88,768,9854,8.45,135,1569,9.41,5902,77005,8.3,5329
"29-abr",2043,13263,18.21,1817,50850,3.71,1047,17799,6.25,769,10623,7.8,163,1732,10.39,4907,81912,6.37,5444
"30-abr",2257,15520,17.02,1778,52628,3.5,1425,19224,8.01,830,11453,7.81,127,1859,7.33,5460,87372,6.67,5912
"01-may",-74,15446,-0.48,2375,55003,4.51,1515,20739,7.88,924,12377,8.07,113,1972,6.08,3816,91188,4.37,6390
"02-may",-910,14536,-5.89,2164,57167,3.93,1349,22088,6.5,1070,13447,8.65,89,2061,4.51,2603,93791,2.85,6580
"03-may",-1872,12664,-12.88,2537,59704,4.44,1383,23471,6.26,937,14384,6.97,93,2154,4.51,2048,95839,2.18,6933
"04-may",479,13143,3.78,2289,61993,3.83,1434,24905,6.11,1554,15938,10.8,117,2271,5.43,4202,100041,4.38,6696
"05-may",2956,16099,22.49,1547,63540,2.5,1120,26025,4.5,872,16810,5.47,236,2507,10.39,5623,105664,5.62,6708
"06-may",1454,17553,9.03,2267,65807,3.57,1609,27634,6.18,971,17781,5.78,197,2704,7.86,5330,110994,5.04,7149
"07-may",1259,18812,7.17,2976,68783,4.52,1982,29616,7.17,1072,18853,6.03,257,2961,9.5,6217,117211,5.6,7802
"08-may",1759,20571,9.35,2568,71351,3.73,1906,31522,6.44,1461,20314,7.75,199,3160,6.72,6235,123446,5.32,8048
"09-may",316,20887,1.54,2450,73801,3.43,1938,33460,6.15,1510,21824,7.43,193,3353,6.11,4702,128148,3.81,8283
"10-may",-908,19979,-4.35,2154,75955,2.92,1562,35022,4.67,1276,23100,5.85,112,3465,3.34,2808,130956,2.19,8457
"11-may",1012,20991,5.07,1843,77798,2.43,1305,36327,3.73,1366,24466,5.91,108,3573,3.12,4160,135116,3.18,8288
"12-may",1989,22980,9.48,3102,80900,3.99,1997,38324,5.5,1115,25581,4.56,353,3926,9.88,7088,142204,5.25,8817
"13-may",1876,24856,8.16,2555,83455,3.16,1862,40186,4.86,1007,26588,3.94,294,4220,7.49,6293,148497,4.43,9378
"14-may",1890,26746,7.6,3136,86591,3.76,2409,42595,5.99,1473,28061,5.54,257,4477,6.09,7435,155932,5.01,10057
"15-may",2282,29028,8.53,3040,89631,3.51,2437,45032,5.72,1966,30027,7.01,290,4767,6.48,7759,163691,4.98,10238
"16-may",381,29409,1.31,2913,92544,3.25,2112,47144,4.69,1391,31418,4.63,278,5045,5.83,5406,169097,3.3,10681
"17-may",-1902,27507,-6.47,3024,95568,3.27,2075,49219,4.4,1519,32937,4.83,132,5177,2.62,3197,172294,1.89,11105
"18-may",-574,26933,-2.09,2999,98567,3.14,2414,51633,4.9,2064,35001,6.27,155,5332,2.99,4839,177133,2.81,11300
"19-may",2517,29450,9.35,3412,101979,3.46,2713,54346,5.25,1912,36913,5.46,334,5666,6.26,8642,185775,4.88,11767
"20-may",2416,31866,8.2,3150,105129,3.09,2248,56594,4.14,1506,38419,4.08,424,6090,7.48,7814,193589,4.21,12085
"21-may",1425,33291,4.47,3851,108980,3.66,2973,59567,5.25,1733,40152,4.51,420,6510,6.9,8249,201838,4.26,12905
"22-may",510,33801,1.53,4762,113742,4.37,2960,62527,4.97,2039,42191,5.08,479,6989,7.36,8232,210070,4.08,13347
"23-may",-2138,31663,-6.33,4395,118137,3.86,3329,65856,5.32,2233,44424,5.29,190,7179,2.72,5586,215656,2.66,14253
"24-may",-2732,28931,-8.63,3476,121613,2.94,2764,68620,4.2,2555,46979,5.75,215,7394,2.99,3508,219164,1.63,14247
"25-may",578,29509,2,3423,125036,2.81,2485,71105,3.62,2473,49452,5.26,239,7633,3.23,6486,225650,2.96,14020
"26-may",2369,31878,8.03,3655,128691,2.92,3455,74560,4.86,2256,51708,4.56,501,8134,6.56,9479,235129,4.2,14718
"27-may",1688,33566,5.3,4578,133269,3.56,3463,78023,4.64,2126,53834,4.11,463,8597,5.69,9729,244858,4.14,15592
"28-may",2565,36131,7.64,3994,137263,3,3377,81400,4.33,2207,56041,4.1,447,9044,5.2,9936,254794,4.06,16315
"29-may",2715,38846,7.51,3290,140553,2.4,3227,84627,3.96,2962,59003,5.29,371,9415,4.1,9232,264026,3.62,16209
"30-may",148,38994,0.38,3933,144486,2.8,2885,87512,3.41,2244,61247,3.8,364,9779,3.87,6966,270992,2.64,16486
"31-may",-2191,36803,-5.62,3044,147530,2.11,3152,90664,3.6,2525,63772,4.12,151,9930,1.54,4005,274997,1.48,16962
"01-jun",1694,38497,4.6,3737,151267,2.53,2771,93435,3.06,3193,66965,5.01,237,10167,2.39,7092,282089,2.58,16303
"02-jun",3654,42151,9.49,2334,153601,1.54,3891,97326,4.16,2784,69749,4.16,470,10637,4.62,10989,293078,3.9,16940
"03-jun",2718,44869,6.45,3753,157354,2.44,3912,101238,4.02,2931,72680,4.2,1092,11729,10.27,10383,303461,3.54,16829
"04-jun",1790,46659,3.99,4370,161724,2.78,4442,105680,4.39,2078,74758,2.86,816,12545,6.96,10602,314063,3.49,18377
"05-jun",2163,48822,4.64,4325,166049,2.67,4346,110026,4.11,3083,77841,4.12,625,13170,4.98,10834,324897,3.45,19015
"06-jun",-549,48273,-1.12,4385,170434,2.64,3593,113619,3.27,2989,80830,3.84,341,13511,2.59,7429,332326,2.29,19278
"07-jun",-2956,45317,-6.12,3541,173975,2.08,3484,117103,3.07,2945,83775,3.64,188,13699,1.39,4069,336395,1.22,19629
"08-jun",1081,46398,2.39,3900,177875,2.24,2999,120102,2.56,3858,87633,4.61,354,14053,2.58,7980,344375,2.37,18416
"09-jun",4279,50677,9.22,4202,182077,2.36,4199,124301,3.5,3115,90748,3.55,596,14649,4.24,12680,357055,3.68,18904
"10-jun",2931,53608,5.78,4493,186570,2.47,4883,129184,3.93,3182,93930,3.51,708,15357,4.83,12307,369362,3.45,19897
"11-jun",2092,55700,3.9,4895,191465,2.62,4790,133974,3.71,3268,97198,3.48,587,15944,3.82,11777,381139,3.19,20832
"12-jun",1228,56928,2.2,6125,197590,3.2,5222,139196,3.9,3678,100876,3.78,504,16448,3.16,12575,393714,3.3,21872
"13-jun",-2,56926,0,4549,202139,2.3,3494,142690,2.51,3202,104078,3.17,424,16872,2.58,8041,401755,2.04,21740
"14-jun",-4290,52636,-7.54,4937,207076,2.44,4147,146837,2.91,3220,107298,3.09,269,17141,1.59,4794,406549,1.19,22398
"15-jun",581,53217,1.1,4540,211616,2.19,3427,150264,2.33,4994,112292,4.65,439,17580,2.56,8548,415097,2.1,20392
"16-jun",3626,56843,6.81,5241,216857,2.48,4599,154863,3.06,3102,115394,2.76,730,18310,4.15,13466,428563,3.24,21159
"17-jun",2233,59076,3.93,5944,222801,2.74,4930,159793,3.18,3110,118504,2.7,770,19080,4.21,13107,441670,3.06,22209
"18-jun",702,59778,1.19,5447,228248,2.44,5662,165455,3.54,3676,122180,3.1,667,19747,3.5,11811,453481,2.67,23528
"19-jun",2467,62245,4.13,4889,233137,2.14,5030,170485,3.04,4258,126438,3.49,647,20394,3.28,12386,465867,2.73,23653
"20-jun",-1624,60621,-2.61,4992,238129,2.14,4717,175202,2.77,4416,130854,3.49,387,20781,1.9,8085,473952,1.74,23567
"21-jun",-4031,56590,-6.65,4264,242393,1.79,5343,180545,3.05,3641,134495,2.78,1044,21825,5.02,5576,479528,1.18,24225
"22-jun",691,57281,1.22,3754,246147,1.55,4577,185122,2.54,4888,139383,3.63,759,22584,3.48,9022,488550,1.88,23155
"23-jun",1825,59106,3.19,5208,251355,2.12,6288,191410,3.4,4263,143646,3.06,793,23377,3.51,13321,501871,2.73,24387
"24-jun",3369,62475,5.7,4981,256336,1.98,5437,196847,2.84,4841,148487,3.37,947,24324,4.05,13787,515658,2.75,24036
"25-jun",1108,63583,1.77,5781,262117,2.26,6104,202951,3.1,3875,152362,2.61,736,25060,3.03,12993,528651,2.52,25529
"26-jun",2857,66440,4.49,5171,267288,1.97,5441,208392,2.68,4465,156827,2.93,719,25779,2.87,13469,542120,2.55,25786
"27-jun",659,67099,0.99,3863,271151,1.45,4410,212802,2.12,3894,160721,2.48,602,26381,2.34,8932,551052,1.65,25700
"28-jun",-2956,64143,-4.41,4052,275203,1.49,4050,216852,1.9,3925,164646,2.44,267,26648,1.01,5146,556198,0.93,25558
"29-jun",2767,66910,4.31,3832,279035,1.39,3805,220657,1.75,5501,170147,3.34,473,27121,1.77,10404,566602,1.87,23389
